MATR_ALUNO,ANO,MEDIA_FINAL,SITUACAO,COD_ATIV_CURRIC,FREQUENCIA,SIGLA
53,2020,84,Aprovado,CI1211,100,Aprovado
53,2020,90,Aprovado,CI1351,100,Aprovado
53,2020,9999,Matrícula,CI1211,100,Matricula
53,2020,9999,Matrícula,CI1350,100,Matricula
53,2020,9999,Matrícula,CI1010,100,Matricula
53,2020,9999,Matrícula,CI1081,100,Matricula
54,2016,9999,Equivalência de Disciplina,CM005,100,Equivale
54,2016,9999,Equivalência de Disciplina,CI055,100,Equivale
54,2016,95,Aprovado,CI056,"96,6666666666667",Aprovado
54,2016,9999,Equivalência de Disciplina,CM201,100,Equivale
54,2016,9999,Equivalência de Disciplina,CM202,100,Equivale
54,2016,9999,Equivalência de Disciplina,CM043,100,Equivale
54,2016,9999,Equivalência de Disciplina,CI068,100,Equivale
54,2016,90,Aprovado,CM045,90,Aprovado
54,2016,88,Aprovado,CM046,100,Aprovado
54,2016,81,Aprovado,CI064,100,Aprovado
54,2016,87,Aprovado,CI057,"93,3333333333333",Aprovado
54,2016,90,Aprovado,CI237,"86,6666666666667",Aprovado
54,2016,88,Aprovado,CI067,90,Aprovado
54,2016,84,Aprovado,CI210,90,Aprovado
54,2017,93,Aprovado,CI065,100,Aprovado
54,2017,85,Aprovado,CI166,"86,6666666666667",Aprovado
54,2017,87,Aprovado,CI212,"93,3333333333333",Aprovado
