MATR_ALUNO,ANO,MEDIA_FINAL,SITUACAO,COD_ATIV_CURRIC,FREQUENCIA,SIGLA
46,2018,0,Reprovado por Frequencia,CI166,"66,6666666666667",Repr. Freq
46,2018,13,Reprovado por Frequencia,CI067,"66,6666666666667",Repr. Freq
46,2018,7,Reprovado por Frequencia,CI212,"68,3333333333333",Repr. Freq
46,2019,0,Reprovado por Frequencia,CM042,0,Repr. Freq
46,2019,0,Reprovado por Frequencia,CM045,50,Repr. Freq
46,2019,0,Reprovado por Frequencia,CI166,"66,6666666666667",Repr. Freq
46,2019,0,Reprovado por Frequencia,CI067,10,Repr. Freq
46,2019,2,Reprovado por Frequencia,CI212,"36,6666666666667",Repr. Freq
46,2019,0,Reprovado por Frequencia,CI166,0,Repr. Freq
46,2019,0,Reprovado por Frequencia,CI067,0,Repr. Freq
46,2019,0,Reprovado por Frequencia,CI212,0,Repr. Freq
47,2016,83,Aprovado,CI055,"93,3333333333333",Aprovado
47,2016,9999,Equivalência de Disciplina,CM201,100,Equivale
47,2016,87,Aprovado,CI068,100,Aprovado
47,2016,9999,Equivalência de Disciplina,CE003,100,Equivale
47,2016,9999,Equivalência de Disciplina,CM045,100,Equivale
47,2016,53,Aprovado,CM046,100,Aprovado
47,2016,42,R-nota,CM005,100,Reprovado
47,2016,66,Aprovado,CI056,"86,6666666666667",Aprovado
47,2016,11,R-nota,CM202,100,Reprovado
47,2016,20,R-nota,CI067,90,Reprovado
47,2016,62,Aprovado,CI210,100,Aprovado
47,2016,58,Aprovado,CI097,"93,3333333333333",Aprovado
47,2017,83,Aprovado,CI057,"96,6666666666667",Aprovado
47,2017,54,Aprovado,CI237,90,Aprovado
47,2017,100,Aprovado,CI166,"83,3333333333333",Aprovado
47,2017,84,Aprovado,CI212,"96,6666666666667",Aprovado
47,2017,60,Aprovado,CI064,"96,6666666666667",Aprovado
47,2017,77,Aprovado,CM005,100,Aprovado
47,2017,30,R-nota,CM202,90,Reprovado
47,2017,9999,Cancelado,CI067,100,Cancelado
47,2017,38,R-nota,CI215,100,Reprovado
47,2017,76,Aprovado,CI062,"86,6666666666667",Aprovado
47,2018,54,Aprovado,CI065,100,Aprovado
47,2018,18,Reprov Conhecimento,CM202,100,Rep Conhec
47,2018,80,Aprovado,CI067,90,Aprovado
47,2018,71,Aprovado,CI058,"93,3333333333333",Aprovado
47,2018,73,Aprovado,CI162,90,Aprovado
47,2018,50,Aprovado,CI209,"76,6666666666667",Aprovado
47,2018,23,R-nota,CI059,75,Reprovado
47,2018,35,R-nota,CI218,"83,3333333333333",Reprovado
47,2019,17,Reprovado por Frequencia,CI164,"73,3333333333333",Repr. Freq
